Gender,Age,Study_Time,Family_Support,Internet_Access,Previous_Grades,Absences,Extra_Classes,Health_Status,Final_Grade
Male,17,4,Yes,Yes,75.7,4,No,4.0,Pass
Female,20,1,Yes,Yes,94.7,3,No,3.0,Fail
Male,18,3,No,Yes,49.8,4,No,4.0,Fail
Female,20,1,No,Yes,59.3,5,No,3.0,Fail
Female,22,3,Yes,Yes,62.8,7,Yes,3.0,Pass
Female,22,2,No,Yes,73.2,5,No,3.0,Fail
Female,22,1,Yes,Yes,56.9,2,No,4.0,Fail
Male,18,2,No,No,49.5,4,No,5.0,Fail
Female,16,1,No,Yes,63.0,6,Yes,4.0,Fail
Female,20,1,No,Yes,65.8,5,No,2.0,Fail
Male,19,3,Yes,Yes,43.8,7,Yes,5.0,Pass
Female,22,1,Yes,Yes,70.8,5,No,3.0,Fail
Male,21,2,Yes,Yes,74.3,3,No,5.0,Pass
Female,15,3,No,Yes,42.3,6,No,3.0,Fail
Male,18,1,Yes,Yes,99.9,5,No,3.0,Pass
Female,15,1,Yes,No,82.1,2,Yes,5.0,Pass
Male,20,3,Yes,No,61.9,6,Yes,4.0,Pass
Male,22,3,Yes,Yes,76.5,4,No,4.0,Pass
Male,20,2,No,Yes,58.9,6,No,5.0,Fail
Female,21,3,Yes,No,57.6,10,Yes,5.0,Fail
Female,19,4,No,No,72.7,5,Yes,2.0,Pass
Female,21,3,No,Yes,64.4,10,Yes,1.0,Pass
Male,22,2,No,Yes,100.0,6,No,3.0,Fail
Male,17,1,Yes,Yes,65.9,8,No,3.0,Fail
Female,22,2,Yes,Yes,52.9,7,No,4.0,Fail
Female,17,1,No,Yes,42.4,7,No,2.0,Fail
Male,16,1,Yes,Yes,81.2,11,No,2.0,Fail
Male,20,4,Yes,Yes,47.5,7,No,5.0,Pass
Male,20,1,No,No,77.2,2,Yes,3.0,Pass
Male,21,2,Yes,No,67.0,2,No,1.0,Fail
Male,17,1,No,No,77.5,5,Yes,3.0,Fail
Male,16,2,No,Yes,63.5,4,Yes,5.0,Fail
Male,16,4,Yes,Yes,51.7,5,No,3.0,Pass
Male,18,3,Yes,Yes,51.2,9,Yes,1.0,Fail
Male,21,3,Yes,Yes,100.0,6,No,5.0,Pass
Female,16,1,Yes,Yes,60.9,7,Yes,4.0,Fail
Female,21,3,Yes,No,72.3,5,No,3.0,Fail
Male,18,4,No,Yes,56.1,3,No,3.0,Fail
Female,16,2,No,Yes,70.1,9,Yes,5.0,Pass
Male,18,1,Yes,Yes,53.1,6,Yes,4.0,Pass
Female,16,3,No,No,70.5,5,No,3.0,Fail
Female,20,2,Yes,Yes,79.8,3,Yes,5.0,Pass
Male,19,3,No,Yes,59.7,2,No,1.0,Fail
Female,21,2,No,Yes,67.5,5,No,2.0,Fail
Male,15,1,Yes,Yes,51.0,7,No,4.0,Pass
Female,18,2,Yes,Yes,42.7,6,No,4.0,Fail
Female,17,2,Yes,Yes,77.1,7,Yes,4.0,Pass
Male,19,1,Yes,Yes,46.8,6,No,3.0,Fail
Female,16,2,Yes,Yes,83.1,5,No,4.0,Pass
Female,21,1,No,Yes,66.1,5,No,3.0,Fail
Female,22,1,Yes,Yes,75.8,7,Yes,4.0,Pass
Female,20,2,Yes,Yes,16.7,4,Yes,3.0,Fail
Male,15,4,No,No,61.9,2,Yes,3.0,Pass
Male,22,1,Yes,Yes,72.7,7,No,5.0,Pass
Male,16,2,Yes,Yes,72.8,8,Yes,5.0,Pass
Male,22,3,No,Yes,47.1,3,No,4.0,Fail
Female,18,2,Yes,No,79.7,10,Yes,2.0,Pass
Female,16,1,No,Yes,79.6,6,Yes,5.0,Pass
Female,20,2,Yes,Yes,70.3,1,No,,Pass
Female,22,2,No,No,54.7,7,Yes,2.0,Fail
Male,19,2,Yes,Yes,72.0,3,No,3.0,Fail
Male,15,1,No,Yes,46.2,8,Yes,1.0,Fail
Female,21,3,No,No,75.0,4,No,4.0,Fail
Female,21,1,Yes,Yes,47.3,4,No,3.0,Fail
Female,20,4,Yes,No,72.2,8,No,3.0,Fail
Male,20,2,Yes,Yes,77.9,5,No,1.0,Fail
Male,15,1,No,Yes,55.9,5,No,3.0,Fail
Male,22,2,Yes,No,77.5,4,No,5.0,Pass
Male,18,4,No,No,73.6,8,No,3.0,Fail
Male,16,3,No,Yes,51.3,3,No,3.0,Pass
Female,22,2,Yes,No,82.1,3,No,3.0,Pass
Male,15,2,No,Yes,57.3,10,No,4.0,Fail
Male,20,3,Yes,Yes,70.2,3,No,3.0,Pass
Female,15,3,No,No,71.7,10,No,2.0,Fail
Female,17,3,Yes,Yes,54.1,4,Yes,4.0,Pass
Female,18,1,Yes,Yes,73.8,3,No,4.0,Pass
Female,15,2,Yes,Yes,76.5,6,Yes,2.0,Pass
Male,20,4,Yes,Yes,99.2,4,No,4.0,Pass
Male,16,2,No,Yes,77.5,6,No,2.0,Fail
Male,20,1,Yes,Yes,79.3,3,Yes,4.0,Pass
Female,20,3,Yes,Yes,48.8,7,No,3.0,Fail
Male,21,2,No,Yes,66.8,4,No,1.0,Fail
Female,21,2,Yes,Yes,89.4,3,No,4.0,Pass
Male,18,1,Yes,Yes,80.2,4,No,2.0,Pass
Female,15,1,No,Yes,53.5,5,Yes,5.0,Pass
Male,20,2,Yes,Yes,58.4,2,Yes,5.0,Pass
Male,18,1,No,Yes,58.5,4,No,4.0,Fail
Male,17,3,Yes,Yes,62.4,7,Yes,4.0,Pass
Female,22,2,Yes,Yes,60.1,3,No,3.0,Pass
Female,22,2,No,Yes,66.2,2,Yes,5.0,Pass
Male,18,2,No,No,61.5,3,No,2.0,Fail
Female,22,2,Yes,Yes,78.2,4,No,1.0,Pass
Female,22,3,No,No,75.4,8,No,5.0,Fail
Female,17,3,No,Yes,73.4,2,No,4.0,Pass
Male,22,4,Yes,No,65.7,4,No,5.0,Pass
Female,21,1,No,Yes,87.9,3,Yes,4.0,Pass
Female,17,1,Yes,Yes,65.9,6,No,4.0,Pass
Female,17,3,Yes,No,78.7,5,No,5.0,Pass
Male,22,2,No,Yes,72.8,9,Yes,1.0,Pass
Male,20,4,Yes,Yes,81.4,3,No,3.0,Pass
Female,16,2,Yes,Yes,36.0,6,Yes,3.0,Fail
Male,22,3,Yes,Yes,77.3,9,Yes,5.0,Pass
Female,18,2,Yes,Yes,74.0,7,No,4.0,Pass
Male,20,2,Yes,Yes,48.3,4,No,1.0,Fail
Male,17,3,No,Yes,49.6,6,Yes,3.0,Pass
Male,16,2,Yes,No,72.8,3,Yes,2.0,Pass
Female,21,2,Yes,Yes,67.8,7,No,4.0,Pass
Male,15,2,Yes,No,73.9,4,No,3.0,Pass
Male,21,2,No,Yes,63.4,6,No,1.0,Fail
Male,20,3,No,Yes,73.2,4,Yes,4.0,Pass
Male,16,2,Yes,Yes,53.3,2,No,3.0,Fail
Male,21,3,Yes,Yes,67.2,4,No,4.0,Pass
Female,20,2,No,Yes,78.7,4,Yes,3.0,Pass
Male,16,4,Yes,Yes,77.8,1,Yes,5.0,Pass
Male,15,3,Yes,Yes,51.1,2,No,3.0,Fail
Female,19,2,No,Yes,62.0,6,No,4.0,Pass
Female,21,4,Yes,No,51.7,4,No,4.0,Fail
Male,20,2,Yes,Yes,70.9,5,No,5.0,Pass
Male,22,1,No,No,63.4,4,Yes,1.0,Fail
Male,18,2,No,No,60.4,5,No,1.0,Fail
Male,16,2,No,Yes,68.2,11,No,2.0,Fail
Male,20,2,Yes,Yes,68.2,7,No,2.0,Pass
Male,21,3,Yes,Yes,79.3,5,No,5.0,Pass
Female,16,2,Yes,Yes,50.1,2,No,5.0,Fail
Female,18,3,No,No,84.4,9,Yes,2.0,Fail
Male,15,2,Yes,Yes,80.7,7,No,5.0,Pass
Male,22,3,Yes,Yes,70.9,7,No,2.0,Pass
Female,21,2,Yes,No,60.3,4,No,4.0,Fail
Male,19,2,Yes,No,78.8,4,Yes,4.0,Fail
Male,19,2,No,No,69.0,6,No,3.0,Fail
Male,19,3,No,Yes,69.5,3,No,4.0,Pass
Female,19,3,Yes,Yes,41.3,5,Yes,3.0,Fail
Female,20,1,Yes,Yes,51.4,10,Yes,3.0,Pass
Female,21,1,Yes,Yes,50.5,2,No,4.0,Fail
Male,20,1,No,Yes,89.4,4,No,2.0,Pass
Female,22,2,No,Yes,64.7,8,Yes,5.0,Fail
Female,20,2,Yes,Yes,59.5,5,Yes,2.0,Pass
Male,16,2,Yes,Yes,49.7,7,No,3.0,Fail
Male,15,2,Yes,No,66.4,7,No,1.0,Fail
Male,18,1,No,Yes,51.8,5,Yes,3.0,Pass
Female,19,3,Yes,No,68.4,8,Yes,3.0,Pass
Female,20,1,Yes,Yes,62.2,7,No,4.0,Fail
Male,22,1,No,Yes,58.4,5,No,3.0,Pass
Male,15,2,Yes,No,57.8,3,No,5.0,Pass
Male,15,2,Yes,Yes,49.4,6,No,3.0,Fail
Male,17,3,Yes,No,69.0,7,No,5.0,Pass
Female,16,1,Yes,Yes,53.8,4,Yes,3.0,Fail
Female,19,3,Yes,Yes,63.1,5,Yes,4.0,Pass
Male,22,3,Yes,Yes,86.0,7,Yes,4.0,Pass
Male,22,1,No,Yes,95.2,1,No,3.0,Fail
Male,20,3,Yes,Yes,85.9,4,No,3.0,Pass
Male,18,3,Yes,Yes,45.3,5,No,3.0,Fail
Male,15,1,Yes,Yes,54.2,8,No,5.0,Fail
Male,20,1,No,No,63.4,5,Yes,2.0,Fail
Female,16,2,Yes,Yes,55.8,2,No,5.0,Fail
Male,18,3,Yes,Yes,77.6,4,No,1.0,Pass
Male,15,2,No,Yes,78.3,2,Yes,5.0,Pass
Male,18,2,No,Yes,91.0,5,No,5.0,Pass
Male,16,2,Yes,Yes,67.1,3,Yes,3.0,Pass
Male,16,1,No,Yes,65.0,4,Yes,1.0,Fail
Male,17,3,No,Yes,64.6,4,No,5.0,Pass
Male,15,2,No,Yes,76.4,3,Yes,5.0,Pass
Male,16,1,No,Yes,73.6,5,Yes,2.0,Pass
Female,20,2,Yes,Yes,52.9,4,No,5.0,Fail
Female,19,1,No,Yes,47.2,4,No,3.0,Fail
Male,17,2,No,Yes,74.9,3,No,5.0,Fail
Male,20,2,Yes,Yes,,4,No,4.0,Pass
Male,22,1,Yes,No,68.7,2,No,5.0,Pass
Male,18,4,Yes,Yes,62.0,4,Yes,3.0,Pass
Female,21,4,Yes,Yes,69.4,5,Yes,5.0,Pass
Male,21,1,No,Yes,48.9,2,Yes,1.0,Fail
Female,22,2,Yes,Yes,55.2,8,No,5.0,Pass
Male,22,4,No,Yes,65.5,4,No,4.0,Fail
Female,17,2,Yes,Yes,76.8,4,No,5.0,Pass
Female,19,2,Yes,Yes,70.8,4,No,5.0,Pass
Female,18,3,Yes,Yes,33.4,3,Yes,4.0,Pass
Female,17,3,No,No,69.2,6,No,3.0,Fail
Male,22,4,No,Yes,70.8,3,Yes,5.0,Pass
Female,15,4,No,Yes,61.9,6,No,5.0,Fail
Female,19,2,Yes,Yes,65.5,7,No,4.0,Pass
Female,15,2,Yes,No,62.6,8,No,4.0,Fail
Male,18,2,No,Yes,72.0,4,No,4.0,Fail
Male,17,2,Yes,Yes,,8,Yes,5.0,Pass
Female,22,2,No,Yes,62.8,6,No,5.0,Fail
Male,15,3,No,Yes,67.4,6,No,4.0,Fail
Female,22,1,Yes,Yes,58.8,2,Yes,3.0,Pass
Male,18,3,Yes,Yes,48.1,5,No,5.0,Pass
Female,19,2,Yes,Yes,79.5,6,No,5.0,Pass
Male,20,2,Yes,Yes,50.7,2,No,2.0,Fail
Female,15,3,Yes,Yes,54.6,6,No,3.0,Fail
Female,20,1,No,Yes,42.0,3,Yes,3.0,Fail
Female,20,4,Yes,No,71.6,4,No,5.0,Pass
Male,19,4,Yes,Yes,68.7,4,No,1.0,Pass
Male,22,3,Yes,Yes,35.8,4,Yes,3.0,Pass
Male,16,2,Yes,No,67.7,9,No,3.0,Pass
Female,19,3,No,Yes,43.4,5,No,3.0,Fail
Female,22,3,No,Yes,84.0,7,No,2.0,Fail
Male,18,1,Yes,Yes,86.9,9,No,5.0,Pass
Male,22,3,No,Yes,66.0,9,No,4.0,Pass
Male,18,3,Yes,Yes,76.2,8,No,5.0,Pass
Female,18,3,No,Yes,57.2,4,No,5.0,Pass
Female,21,2,No,Yes,58.0,6,Yes,1.0,Fail
Female,16,1,Yes,Yes,71.9,4,No,3.0,Fail
Male,18,3,Yes,Yes,64.7,6,No,5.0,Fail
Female,21,4,No,No,52.2,2,No,2.0,Fail
Male,15,2,No,Yes,70.7,0,No,4.0,Pass
Male,19,1,Yes,No,69.1,7,No,5.0,Pass
Male,20,2,No,Yes,38.3,2,Yes,5.0,Fail
Male,18,1,Yes,Yes,64.6,1,Yes,5.0,Pass
Male,20,4,Yes,Yes,70.1,4,No,4.0,Pass
Male,19,1,No,Yes,42.2,2,Yes,5.0,Fail
Male,20,4,Yes,Yes,72.0,2,No,4.0,Pass
Male,18,2,Yes,Yes,35.5,6,No,5.0,Fail
Female,21,1,No,No,43.3,10,No,4.0,Fail
Female,17,2,Yes,Yes,81.0,5,No,4.0,Pass
Female,15,2,No,Yes,65.8,5,Yes,5.0,Pass
Female,18,1,No,Yes,67.6,3,No,5.0,Fail
Male,17,2,Yes,Yes,49.7,8,No,4.0,Fail
Male,18,1,Yes,Yes,77.3,7,Yes,4.0,Pass
Male,17,1,Yes,Yes,52.6,3,No,1.0,Fail
Female,15,1,Yes,Yes,57.2,3,Yes,4.0,Pass
Female,19,3,Yes,Yes,70.7,8,No,5.0,Pass
Male,15,2,Yes,Yes,39.7,3,Yes,3.0,Pass
Male,16,3,No,Yes,46.4,6,No,5.0,Fail
Female,20,3,No,Yes,78.1,5,No,5.0,Fail
Female,16,3,Yes,Yes,78.5,6,No,3.0,Fail
Male,18,4,Yes,No,52.0,6,No,2.0,Fail
Female,15,3,Yes,No,79.1,3,No,5.0,Pass
Female,19,2,Yes,Yes,54.6,6,Yes,5.0,Pass
Female,19,2,Yes,Yes,,4,Yes,4.0,Pass
Male,17,2,No,Yes,48.7,4,Yes,1.0,Fail
Female,19,2,Yes,Yes,,5,Yes,4.0,Pass
Female,20,1,Yes,Yes,27.6,2,No,5.0,Fail
Male,18,3,Yes,No,69.7,3,No,3.0,Pass
Male,19,3,No,Yes,67.9,6,No,5.0,Fail
Female,20,2,Yes,Yes,62.4,3,Yes,4.0,Pass
Female,15,2,Yes,Yes,78.2,3,No,4.0,Pass
Female,22,3,No,Yes,59.5,3,No,3.0,Fail
Male,22,3,No,Yes,34.1,3,No,3.0,Fail
Male,19,2,No,No,86.0,8,Yes,3.0,Pass
Male,18,3,No,Yes,98.8,3,No,4.0,Fail
Female,18,3,Yes,Yes,45.1,2,No,1.0,Fail
Female,19,1,Yes,Yes,87.0,7,No,3.0,Pass
Male,18,1,Yes,No,64.0,5,No,4.0,Fail
Female,18,2,Yes,Yes,52.0,3,No,3.0,Fail
Male,22,3,No,Yes,66.0,9,No,4.0,Pass
Male,22,2,Yes,Yes,61.5,6,No,2.0,Fail
Female,22,1,Yes,Yes,62.4,7,Yes,5.0,Pass
Male,20,4,No,Yes,78.4,3,No,1.0,Fail
Female,18,1,No,Yes,49.5,5,No,2.0,Fail
Female,15,3,Yes,Yes,79.6,2,Yes,4.0,Pass
Female,17,1,No,Yes,56.6,3,Yes,4.0,Pass
Female,16,3,Yes,Yes,66.2,9,No,4.0,Pass
Female,18,2,No,Yes,57.2,5,No,5.0,Fail
Male,17,2,No,Yes,90.2,3,Yes,5.0,Pass
Female,17,1,No,Yes,56.5,2,No,4.0,Fail
Female,16,1,Yes,No,41.1,2,Yes,1.0,Fail
Male,17,2,Yes,Yes,62.4,7,No,3.0,Fail
Female,17,3,No,Yes,67.5,5,Yes,4.0,Pass
Male,21,4,No,Yes,57.6,6,Yes,3.0,Pass
Male,22,4,Yes,Yes,65.9,10,No,4.0,Fail
Male,15,4,Yes,Yes,64.7,2,No,5.0,Pass
Female,15,3,Yes,Yes,75.9,4,No,3.0,Pass
Female,21,2,No,No,82.0,4,No,,Pass
Female,22,3,No,No,49.6,6,Yes,4.0,Fail
Female,17,2,No,Yes,57.4,4,No,5.0,Fail
Male,21,1,,Yes,74.3,10,No,4.0,Fail
Male,17,2,Yes,Yes,70.2,2,Yes,3.0,Pass
Male,19,1,Yes,Yes,49.8,5,Yes,4.0,Fail
Female,22,1,Yes,Yes,52.5,3,Yes,3.0,Pass
Female,16,3,No,Yes,95.8,4,Yes,5.0,Pass
Female,20,3,No,No,49.9,8,No,2.0,Fail
Female,19,2,No,Yes,75.5,5,No,3.0,Fail
Female,15,2,No,Yes,70.8,4,Yes,5.0,Pass
Female,17,1,Yes,No,95.4,4,No,5.0,Pass
Female,17,2,Yes,Yes,72.0,0,No,3.0,Pass
Female,20,1,No,Yes,56.6,3,Yes,4.0,Fail
Male,19,3,Yes,Yes,71.8,4,No,4.0,Pass
Male,15,2,Yes,Yes,51.1,4,Yes,3.0,Fail
Male,18,2,No,Yes,89.6,4,No,4.0,Pass
Male,19,1,Yes,Yes,52.7,6,Yes,4.0,Fail
Female,19,2,No,Yes,67.8,7,Yes,,Pass
Male,22,1,No,Yes,80.4,5,No,4.0,Fail
Male,19,3,Yes,Yes,63.1,8,No,5.0,Pass
Female,18,4,Yes,Yes,54.4,1,No,2.0,Fail
Male,15,1,Yes,Yes,77.5,9,No,4.0,Pass
Female,15,3,Yes,Yes,70.0,1,Yes,3.0,Pass
Female,19,2,Yes,Yes,78.8,4,No,4.0,Pass
Male,16,3,No,Yes,77.4,6,No,3.0,Fail
Female,17,1,Yes,Yes,75.1,3,No,3.0,Pass
Male,20,3,Yes,Yes,87.2,2,No,1.0,Fail
Female,22,2,Yes,Yes,49.4,4,No,4.0,Pass
Male,20,3,Yes,Yes,47.1,2,No,4.0,Pass
Female,20,2,Yes,Yes,82.5,3,No,5.0,Pass
Female,21,1,Yes,Yes,67.9,8,No,5.0,Fail
Male,16,1,Yes,No,58.5,3,No,1.0,Fail
Male,16,1,Yes,No,46.7,3,Yes,5.0,Pass
Female,18,2,Yes,Yes,31.5,7,No,4.0,Fail
Female,18,2,Yes,Yes,29.9,4,No,4.0,Fail
Female,19,4,No,Yes,62.4,10,No,4.0,Pass
Female,21,3,Yes,Yes,45.5,4,No,3.0,Fail
Male,17,4,Yes,No,98.6,8,No,3.0,Pass
Female,20,4,Yes,Yes,44.7,6,No,5.0,Pass
Female,20,4,Yes,Yes,47.7,9,Yes,3.0,Pass
Male,20,1,No,Yes,65.2,4,No,4.0,Fail
Male,15,1,No,No,83.1,6,Yes,3.0,Pass
Male,16,2,No,No,68.0,2,No,3.0,Fail
Male,20,3,Yes,No,59.2,5,No,3.0,Pass
Male,19,2,No,Yes,72.9,4,No,5.0,Pass
Female,21,2,Yes,Yes,63.5,1,No,5.0,Fail
Male,20,3,No,No,52.7,7,No,2.0,Fail
Female,15,3,Yes,No,72.9,5,No,1.0,Fail
Male,22,3,Yes,Yes,45.0,9,Yes,5.0,Pass
Female,16,3,Yes,No,73.7,5,Yes,2.0,Pass
Female,22,3,Yes,Yes,66.7,5,No,4.0,Fail
Male,15,1,Yes,Yes,73.6,6,No,3.0,Fail
Male,15,4,Yes,Yes,45.7,5,No,3.0,Fail
Male,16,4,No,Yes,47.3,10,No,4.0,Fail
Female,15,3,No,No,75.9,8,No,5.0,Fail
Female,17,3,No,Yes,56.6,5,No,3.0,Fail
Male,21,2,Yes,Yes,85.4,2,No,2.0,Pass
Male,18,3,Yes,Yes,50.0,3,No,3.0,Pass
Male,22,1,No,Yes,63.0,4,No,5.0,Fail
Male,18,1,Yes,No,54.2,3,No,5.0,Fail
Female,15,3,Yes,Yes,84.9,7,No,4.0,Pass
Female,19,1,No,Yes,47.7,2,Yes,3.0,Fail
Male,16,2,Yes,Yes,80.0,8,No,3.0,Pass
Female,17,1,Yes,Yes,39.3,11,No,4.0,Fail
Female,20,1,No,Yes,39.3,5,Yes,4.0,Fail
Female,21,4,No,No,73.5,6,No,5.0,Fail
Male,16,1,No,Yes,47.3,7,No,2.0,Fail
Male,16,3,Yes,Yes,76.5,5,No,5.0,Pass
Female,19,1,Yes,Yes,61.9,3,No,4.0,Pass
Female,19,4,Yes,Yes,64.2,4,No,2.0,Fail
Female,16,1,No,No,72.3,4,Yes,5.0,Fail
Male,15,1,Yes,Yes,53.7,7,No,4.0,Pass
Female,15,1,Yes,No,76.0,5,No,4.0,Fail
Female,22,1,Yes,No,66.9,10,No,3.0,Fail
Female,18,2,No,Yes,56.2,5,No,2.0,Fail
Male,15,2,No,Yes,77.6,5,No,3.0,Pass
Female,21,1,No,Yes,61.4,4,No,4.0,Fail
Female,16,3,No,Yes,73.3,2,Yes,5.0,Pass
Male,20,4,No,Yes,71.6,6,No,5.0,Fail
Female,21,2,No,No,53.7,4,No,4.0,Fail
Male,17,2,Yes,Yes,48.9,3,Yes,2.0,Pass
Female,16,3,No,Yes,82.9,5,No,5.0,Fail
Male,17,1,Yes,Yes,72.3,4,Yes,5.0,Pass
Female,16,3,No,Yes,71.2,7,No,4.0,Fail
Female,20,2,Yes,Yes,78.7,3,Yes,5.0,Pass
Female,15,2,No,Yes,61.1,3,No,1.0,Fail
Male,15,2,No,Yes,68.9,5,Yes,5.0,Pass
Female,19,3,Yes,No,42.1,1,Yes,4.0,Pass
Male,18,3,Yes,Yes,44.9,4,Yes,5.0,Pass
Male,15,1,Yes,Yes,87.0,4,Yes,3.0,Pass
Male,17,3,Yes,No,89.7,7,Yes,3.0,Pass
Male,17,3,Yes,Yes,77.7,4,Yes,3.0,Pass
Male,17,3,Yes,Yes,90.6,4,No,5.0,Pass
Male,19,3,Yes,Yes,81.7,5,No,3.0,Pass
Female,19,1,Yes,No,60.6,4,Yes,,Pass
Female,19,3,No,Yes,57.7,11,No,5.0,Fail
Female,16,2,Yes,No,84.7,8,Yes,3.0,Pass
Female,21,1,Yes,Yes,49.9,6,Yes,5.0,Pass
Female,22,2,Yes,Yes,67.0,7,Yes,3.0,Pass
Male,18,2,Yes,Yes,44.7,4,No,5.0,Fail
Female,21,2,No,Yes,70.4,2,No,3.0,Fail
Female,22,3,No,Yes,72.2,6,No,4.0,Pass
Male,17,1,Yes,Yes,36.9,4,No,5.0,Fail
Female,22,3,Yes,Yes,62.6,4,No,5.0,Pass
Male,20,1,No,Yes,70.8,1,No,3.0,Fail
Male,22,2,No,Yes,56.0,9,Yes,2.0,Fail
Male,18,4,Yes,Yes,50.4,9,No,3.0,Pass
Female,15,1,Yes,No,37.8,6,No,3.0,Fail
Male,20,1,Yes,Yes,51.4,3,Yes,5.0,Pass
Female,16,1,Yes,Yes,48.9,4,No,3.0,Pass
Male,19,1,Yes,Yes,73.9,7,No,2.0,Fail
Male,18,1,Yes,Yes,96.6,3,No,5.0,Pass
Female,17,1,Yes,No,68.1,7,No,4.0,Fail
Male,21,3,Yes,Yes,62.1,6,No,5.0,Pass
Male,15,1,Yes,Yes,45.9,7,No,1.0,Fail
Female,18,2,Yes,Yes,70.0,7,Yes,4.0,Pass
Female,19,1,Yes,No,67.5,3,Yes,4.0,Fail
Female,18,3,Yes,Yes,61.2,2,Yes,2.0,Pass
Female,17,3,Yes,Yes,82.3,5,Yes,4.0,Pass
Male,22,1,Yes,Yes,63.6,7,No,3.0,Fail
Female,19,4,Yes,Yes,69.0,5,No,3.0,Pass
Male,18,3,Yes,Yes,62.6,10,No,5.0,Pass
Female,19,3,Yes,Yes,68.7,4,No,3.0,Fail
Female,22,2,Yes,Yes,47.6,7,No,4.0,Pass
Female,18,2,Yes,Yes,83.9,5,Yes,,Pass
Female,16,1,No,Yes,66.6,6,No,4.0,Fail
Male,19,3,No,Yes,59.5,3,Yes,4.0,Fail
Male,16,3,Yes,Yes,49.3,5,No,4.0,Fail
Male,15,3,Yes,No,,6,No,1.0,Pass
Female,19,4,No,Yes,62.2,6,No,4.0,Fail
Male,20,1,Yes,Yes,62.9,2,No,5.0,Pass
Male,17,2,No,Yes,73.0,5,No,3.0,Fail
Female,20,3,No,Yes,57.5,4,No,5.0,Fail
